appearDate,applyCnt,coIndustry,coIndustryDesc,custName,custNo,description,descSnippet,mrtDist,jobAddress,jobAddrNo,jobAddrNoDesc,jobName,jobNameSnippet,jobNo,jobRo,jobType,lat,lon,link,major,mrt,mrtDesc,optionEdu,period,remoteWorkType,s10,salaryHigh,salaryLow,tags,s9,s5,d3,hrBehaviorPR,jobCat,labels,isSave,isApplied,applyDate,userApplyCount,isActivelyHiring,interactionRecord
20250708,14,1002007001,化學原料製造業,新光合成纖維股份有限公司,7435515000,"1.薪酬、差勤、保險業務 
2.規章制度修訂 
3.勞動法令因應 
4.數據分析 
5.人資專案規劃


","1.薪酬、差勤、保險業務 
2.規章制度修訂 
3.勞動法令因應 
4.[[[數據分析]]] 
5.人資專案規劃


",0.5,仁愛路三段136號5樓,6001001005,台北市大安區,【台北】人資薪酬專員,【台北】人資薪酬專員,12208361,1,1,25.0374747,121.5412729,"{'job': 'https://www.104.com.tw/job/79o15', 'cust': 'https://www.104.com.tw/company/3eyww3c', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/79o15?channel=104rpt'}",[],99001001010,捷運忠孝復興站,"[3, 4, 5]",2,0,50,40000,34000,"{'zone': {'desc': '上市上櫃', 'param': 16}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf18': {'desc': '', 'param': 'wf18'}, 'wf34': {'desc': '', 'param': 'wf34'}, 'wf25': {'desc': '', 'param': 'wf25'}, 'wf33': {'desc': '', 'param': 'wf33'}, 'wf27': {'desc': '', 'param': 'wf27'}, 'wf19': {'desc': '', 'param': 'wf19'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf12': {'desc': '', 'param': 'wf12'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf14': {'desc': '', 'param': 'wf14'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf16': {'desc': '', 'param': 'wf16'}, 'landmark': {'desc': '距捷運忠孝復興站約500公尺'}}",[1],0,,0.9680059291968431,[2001002002],"['c@wf3', 'c@wf1', 'c@wf18', 'foreigners@full_fc_em_jbs', 'c@wf34', 'foreigners@overseasStudents_tick', 'c@wf25', 'c@wf33', 'c@wf27', 'c@wf19', 'c@wf7', 'c@wf12', 'c@wf30', 'c@wf10', 'c@wf14', 'c@wf2', 'c@wf9', 'c@wf16']",,,,,True,"{'lastProcessedResumeAtTime': 1751951622, 'nowTimestamp': 1752050834}"
20250707,19,1001001003,網際網路相關業,神來也麻將_慧邦科技股份有限公司,27767168000,"、Google 等廣告投放，並依據 KPI 進行數據分析，優化廣告成效
• 素材創意發想：依分析結果描繪用戶樣貌，協助進行 FB、YT、抖音等廣告腳本的發想，並與影音團隊討論製作廣告
• 市場調查分析：協助進行產業和競品研究，提供深入洞察，並參與用","、Google 等廣告投放，並依據 KPI 進行[[[數據分析]]]，優化廣告成效
• 素材創意發想：依分析結果描繪用戶樣貌，協助進行 FB、YT、抖音等廣告腳本的發想，並與影音團隊討論製作廣告
• 市場調查分析：協助進行產業和競品研究，提供深入洞察，並參與用",0.05,羅斯福路二段100號10樓,6001001001,台北市中正區,MK 數位行銷企劃助理【歡迎應屆畢業生】,MK 數位行銷企劃助理【歡迎應屆畢業生】,10892809,1,1,25.0267506,121.5223326,"{'job': 'https://www.104.com.tw/job/6hgy1', 'cust': 'https://www.104.com.tw/company/cr7ury8', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/6hgy1?channel=104rpt'}",[],99001003010,捷運古亭站,"[4, 5, 6]",0,0,50,60000,37000,"{'wf13': {'desc': '', 'param': 'wf13'}, 'wf8': {'desc': '', 'param': 'wf8'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf33': {'desc': '', 'param': 'wf33'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf35': {'desc': '', 'param': 'wf35'}, 'wf31': {'desc': '', 'param': 'wf31'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf14': {'desc': '', 'param': 'wf14'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'landmark': {'desc': '距捷運古亭站約50公尺'}}",[1],0,09:30~18:00,0.9684288073500674,"[2004001005, 2004001007, 2004001010]","['c@wf13', 'c@wf8', 'c@2025career', 'c@wf1', 'c@wf33', 'college@student_invited', 'c@wf9', 'c@wf10', 'c@wf7', 'foreigners@full_fc_em_jbs', 'c@wf4', 'c@wf35', 'c@wf31', 'c@wf28', 'c@wf14', 'c@wf29', 'c@wf3', 'c@wf26']",,,,,True,"{'lastProcessedResumeAtTime': 1752043249, 'nowTimestamp': 1752050834}"
20250625,8,1008003001,工商顧問服務業,世銳顧問有限公司,130000000124356,"題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化數據和概念以增強觀眾參與度和理解
•	進行臨床實驗數據分析和實驗設計
•	製作具有最新數據與圖表的醫學文獻刊物
•	研究、理解和","題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化數據和概念以增強觀眾參與度和理解
•	進行臨床實驗[[[數據分析]]]和實驗設計
•	製作具有最新數據與圖表的醫學文獻刊物
•	研究、理解和",0.26,中山北路二段33號6樓,6001001003,台北市中山區,商業數據分析師,商業[[[數據分析]]]師,14079349,1,0,25.0533725,121.5228523,"{'job': 'https://www.104.com.tw/job/8drp1', 'cust': 'https://www.104.com.tw/company/1a2x6bkn9g', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8drp1?channel=104rpt'}","['一般商業學類', '醫藥工程相關', '數理統計相關']",99001003015,捷運中山站,"[2, 3, 4, 5, 6]",0,0,50,60000,50000,"{'wf12': {'desc': '', 'param': 'wf12'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'landmark': {'desc': '距捷運中山站約260公尺'}}",[1],0,,0.9311598880040596,"[2007001021, 2007001018, 2004003006]","['c@wf12', 'deboost@kwdeboost_link_1', 'college@student_invited', 'c@wf2', 'c@wf3', 'senior@senior_job_E', 'c@wf7', 'c@wf30', 'c@wf26', 'c@wf29', 'c@wf1']",,,,,True,"{'lastProcessedResumeAtTime': None, 'nowTimestamp': 1752050834}"
20250704,1,1006003001,廣告行銷公關業,創浪行銷顧問有限公司,130000000255159,"數據分析工具監測社群媒體、論壇、新聞平台，定期監控社群輿情。

2.消費者洞察: 掌握潛在目標對象輪廓，了解消費者需求、偏好與痛點。

3.行銷成效數據分析: 追蹤社群行銷、內容行銷與口碑操作成效，監控專案效益並分析成果。

4.品牌聲量分析: 定","[[[數據分析]]]工具監測社群媒體、論壇、新聞平台，定期監控社群輿情。

2.消費者洞察: 掌握潛在目標對象輪廓，了解消費者需求、偏好與痛點。

3.行銷成效[[[數據分析]]]: 追蹤社群行銷、內容行銷與口碑操作成效，監控專案效益並分析成果。

4.品牌聲量分析: 定",0.32,基隆路一段394號2樓,6001001007,台北市信義區,數據分析經理,[[[數據分析]]]經理,14724608,1,0,25.0344998,121.5600535,"{'job': 'https://www.104.com.tw/job/8rlkw', 'cust': 'https://www.104.com.tw/company/1a2x6bng6v', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8rlkw?channel=104rpt'}","['統計學相關', '資訊管理相關', '大眾傳播學相關']",99001002002,捷運台北101/世貿站,"[4, 5, 6]",4,0,10,0,0,"{'wf7': {'desc': '', 'param': 'wf7'}, 'wf8': {'desc': '', 'param': 'wf8'}, 'landmark': {'desc': '距捷運台北101/世貿站約320公尺'}}",[1],0,,0.4112801634535346,[2007001018],"['c@wf7', 'c@wf8']",,,,,False,"{'lastProcessedResumeAtTime': 1751880594, 'nowTimestamp': 1752050834}"
20250708,8,1001001002,電腦軟體服務業,鑠銳有限公司,130000000247259,"◆建立並維護遊戲的關鍵數據指標（如次日 / 三日 / 七日 / 留存率、ARPPU、ARPU、DAU / WAU / MAU 等）。
◆分析投注行為與經濟數值（最大投注、最小投注、平均投注、人均投注、下注頻率等）。
◆評估遊戲表現數據：RTP（返還率）、Volatility（波動率）、Hit Rate（中獎率）、洗分值、玩感值等。
◆協助建立獎金分布模型，觀察高 / 中 / 低獎出現頻率對玩家體驗的影響。
◆撰寫數據報告，提出優化建議，並與產品、機率與營運團隊合作。
◆支援A/B測試設計與結果分析。
◆運用統計與視覺化工具，洞察玩家留存、流失、課金行為與遊戲樂趣之間的關聯。","◆建立並維護遊戲的關鍵數據指標（如次日 / 三日 / 七日 / 留存率、ARPPU、ARPU、DAU / WAU / MAU 等）。
◆分析投注行為與經濟數值（最大投注、最小投注、平均投注、人均投注、下注頻率等）。
◆評估遊戲表現數據：RTP（返還率）、Volatility（波動率）、Hit Rate（中獎率）、洗分值、玩感值等。
◆協助建立獎金分布模型，觀察高 / 中 / 低獎出現頻率對玩家體驗的影響。
◆撰寫數據報告，提出優化建議，並與產品、機率與營運團隊合作。
◆支援A/B測試設計與結果分析。
◆運用統計與視覺化工具，洞察玩家留存、流失、課金行為與遊戲樂趣之間的關聯。",0.0,,6001001005,台北市大安區,數據分析專員,[[[數據分析]]]專員,14496487,1,0,25.0249441,121.5433783,"{'job': 'https://www.104.com.tw/job/8mpk7', 'cust': 'https://www.104.com.tw/company/1a2x6bna3f', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8mpk7?channel=104rpt'}",[],,,"[3, 4]",4,0,10,0,0,"{'wf14': {'desc': '', 'param': 'wf14'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf1': {'desc': '', 'param': 'wf1'}}",[1],0,,0.5805649652127077,"[2007001018, 2004001018, 2016001007]","['c@wf14', 'c@wf29', 'c@wf7', 'c@wf2', 'c@wf26', 'c@wf1']",,,,,False,"{'lastProcessedResumeAtTime': 1751957492, 'nowTimestamp': 1752050834}"
20250708,9,1001001001,電腦系統整合服務業,艾捷科技有限公司,130000000226240,"我們正在尋找身懷絕技的【數據分析師】加入我們的團隊

你的任務：

    解讀數據，預測數據的健康狀況。
    將數據轉化為視覺化洞見和可執行方案。
    資料探勘，驅動決策。

加分：熟悉 Data Warehouse、大數據、雲端 (","我們正在尋找身懷絕技的【[[[數據分析]]]師】加入我們的團隊

你的任務：

    解讀數據，預測數據的健康狀況。
    將數據轉化為視覺化洞見和可執行方案。
    資料探勘，驅動決策。

加分：熟悉 Data Warehouse、大數據、雲端 (",0.35,大墩十街300號,6001008008,台中市南屯區,數據分析師,[[[數據分析]]]師,14437328,1,0,24.148053,120.6456065,"{'job': 'https://www.104.com.tw/job/8lfww', 'cust': 'https://www.104.com.tw/company/1a2x6bmtvk', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8lfww?channel=104rpt'}","['數學及電算機科學學科類', '工程學科類']",99003001011,捷運文心森林公園站,"[4, 5]",2,0,10,0,0,"{'wf3': {'desc': '', 'param': 'wf3'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf11': {'desc': '', 'param': 'wf11'}, 'wf8': {'desc': '', 'param': 'wf8'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf25': {'desc': '', 'param': 'wf25'}, 'landmark': {'desc': '距捷運文心森林公園站約350公尺'}}",[1],0,09:00~18:00,0.7529835166547222,"[2007001018, 2007001022, 2007001021]","['c@wf3', 'c@wf2', 'c@wf11', 'c@wf8', 'c@wf29', 'c@wf25']",,,,,True,"{'lastProcessedResumeAtTime': 1751521279, 'nowTimestamp': 1752050834}"
20250626,6,1001001003,網際網路相關業,湛衡有限公司(籌備處),130000000254603,"1. 分析客戶平台營運數據，包括：使用者行為、活躍度、資金流動（如入/出帳）、轉換率與留存率等
2. 與行銷、業務等部門協作，協助活動預算規劃與實際成本分析（如促銷方案、獎勵制度等）
3. 建立並維護活動成效追蹤模型（如 ROI、CPA、ARPU），定期提供優化建議
4. 開發並更新營運KPI儀表板，協助監控業務關鍵指標（如DAU、LTV、轉化率等）
5. 提供跨部門數據支持，協助推動用戶成長與業務改善
6. 定期產出管理層分析報告，協助策略擬定與營運優化
7. 協助開發自動化報表工具，提升數據處理與分析效率
","1. 分析客戶平台營運數據，包括：使用者行為、活躍度、資金流動（如入/出帳）、轉換率與留存率等
2. 與行銷、業務等部門協作，協助活動預算規劃與實際成本分析（如促銷方案、獎勵制度等）
3. 建立並維護活動成效追蹤模型（如 ROI、CPA、ARPU），定期提供優化建議
4. 開發並更新營運KPI儀表板，協助監控業務關鍵指標（如DAU、LTV、轉化率等）
5. 提供跨部門數據支持，協助推動用戶成長與業務改善
6. 定期產出管理層分析報告，協助策略擬定與營運優化
7. 協助開發自動化報表工具，提升數據處理與分析效率
",0.18,黎明里許昌街17號13樓之1,6001001001,台北市中正區,資深數據分析師/ Sr. Data Analyst,資深[[[數據分析]]]師/ Sr. Data Analyst,14711902,1,0,25.0462169,121.516881,"{'job': 'https://www.104.com.tw/job/8rbry', 'cust': 'https://www.104.com.tw/company/1a2x6bnfrf', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8rbry?channel=104rpt'}",[],99001002009,捷運台北車站站,"[2, 3, 4, 5]",4,1,50,9999999,60000,"{'remote': {'desc': '遠端工作'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'landmark': {'desc': '距捷運台北車站站約180公尺'}}",[1],0,日班（08～16）、晚班（16～24）、夜班（24～08）,0.4806232778843629,"[2007001018, 2007001022]","['senior@senior_job_H', 'c@wf4', 'c@wf1', 'foreigners@foreigners_tick', 'c@wf2', 'c@wf7', 'c@wf26']",,,,,False,"{'lastProcessedResumeAtTime': 1751943259, 'nowTimestamp': 1752050834}"
20250708,5,1012001002,診所,馬光醫療網_馬光中醫診所,130000000071941,"工作內容
*分析內部營運相關數據，製作營運儀表板，提供決策依據
*針對經營議題（如選址、服務優化..等）提出數據建議
*跨部門協作專案分析（行銷活動、會員經營、顧客回診等）
*支援管理團隊進行專案追蹤、經營報告與策略會議簡報彙整","工作內容
*分析內部營運相關數據，製作營運儀表板，提供決策依據
*針對經營議題（如選址、服務優化..等）提出數據建議
*跨部門協作專案分析（行銷活動、會員經營、顧客回診等）
*支援管理團隊進行專案追蹤、經營報告與策略會議簡報彙整",0.2,維新路128號3樓,6001016024,高雄市鳳山區,策略數據分析師｜產業洞察×跨部門數據整合,策略[[[數據分析]]]師｜產業洞察×跨部門數據整合,14685273,1,2,22.6247228,120.3612662,"{'job': 'https://www.104.com.tw/job/8qr89', 'cust': 'https://www.104.com.tw/company/1a2x6bjith', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8qr89?channel=104rpt'}","['企業管理相關', '資訊管理相關', '其他數學及電算機科學相關']",99004002012,捷運大東站,"[3, 4, 5]",3,0,10,0,0,"{'wf28': {'desc': '', 'param': 'wf28'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf31': {'desc': '', 'param': 'wf31'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'landmark': {'desc': '距捷運大東站約200公尺'}}",[1],0,,0.5905649206992178,"[2007001018, 2007001022, 2007001021]","['c@wf28', 'c@wf3', 'foreigners@overseasStudents_tick', 'c@wf10', 'c@wf2', 'c@wf31', 'foreigners@foreigners_tick', 'c@wf30', 'c@wf9', 'c@wf4', 'senior@senior_job_G', 'c@wf29', 'c@wf1', 'c@wf7']",,,,,False,"{'lastProcessedResumeAtTime': 1751944135, 'nowTimestamp': 1752050834}"
20250702,6,1001001002,電腦軟體服務業,麟數據科技股份有限公司,130000000081121,"敝公司 LnData 目前第五年，進入快速成長的階段，需要各方人才一起來玩！同事有神人工程師、拳擊高手數據分析師、還有超會喝啤酒的資料科學家、虛擬貨幣致富數據暨演算法工程師，很害羞的外國人，歡迎各位一起加入打打鬧鬧！

/////////","敝公司 LnData 目前第五年，進入快速成長的階段，需要各方人才一起來玩！同事有神人工程師、拳擊高手[[[數據分析]]]師、還有超會喝啤酒的資料科學家、虛擬貨幣致富數據暨演算法工程師，很害羞的外國人，歡迎各位一起加入打打鬧鬧！

/////////",0.49,松德路159號16樓之1,6001001007,台北市信義區,數據分析師,[[[數據分析]]]師,8379189,1,0,25.0365722,121.5749571,"{'job': 'https://www.104.com.tw/job/4zlf9', 'cust': 'https://www.104.com.tw/company/1a2x6bjpwh', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/4zlf9?channel=104rpt'}",[],99001005019,捷運永春站,"[4, 5]",0,0,50,38000,30000,"{'wf29': {'desc': '', 'param': 'wf29'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'landmark': {'desc': '距捷運永春站約490公尺'}}",[1],0,,0.9185581190379745,"[2004001005, 2004001010, 2004001009]","['c@wf29', 'c@wf1', 'c@wf3', 'c@wf10', 'c@wf26', 'foreigners@full_fc_em_jbs', 'c@wf7', 'c@wf2', 'deboost@kwdeboost_link_1']",,,,,True,"{'lastProcessedResumeAtTime': None, 'nowTimestamp': 1752050834}"
20250709,3,1011004001,不動產經營業,永慶房產集團_永慶房屋仲介股份有限公司,22760834000,"1.利用數據分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告","1.利用[[[數據分析]]]解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告",0.5,敦化南路二段77號12樓,6001001005,台北市大安區,數據分析師 E31,[[[數據分析]]]師 E31,12418889,1,2,25.030284,121.549201,"{'job': 'https://www.104.com.tw/job/7e6h5', 'cust': 'https://www.104.com.tw/company/agf7nww', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/7e6h5?channel=104rpt'}",[],99001002003,捷運信義安和站,"[4, 5, 6]",0,0,50,60000,40000,{'landmark': {'desc': '距捷運信義安和站約500公尺'}},[1],0,8:30-18:00,0.7260439526198414,"[2004001010, 2004003002, 2003002008]",[],,,,,True,"{'lastProcessedResumeAtTime': None, 'nowTimestamp': 1752050834}"
20250604,2,1005001007,大專校院教育事業,國立臺北科技大學,92021164025,"作，成果應用於企業與政府智慧城市專案。加入我們，您將成為城市科學的先鋒，與世界領先的團隊共創未來！

【工作內容】
都市數據分析師運用數據分析與技術工具，解決城市規劃與治理挑戰，推動智慧城市發展。
1. 分析城市數據（如交通流量、土地使用、能源消耗","作，成果應用於企業與政府智慧城市專案。加入我們，您將成為城市科學的先鋒，與世界領先的團隊共創未來！

【工作內容】
都市[[[數據分析]]]師運用[[[數據分析]]]與技術工具，解決城市規劃與治理挑戰，推動智慧城市發展。
1. 分析城市數據（如交通流量、土地使用、能源消耗",0.21,忠孝東路三段46號1樓,6001001005,台北市大安區,MITxTaipei Tech 都市數據分析師,MITxTaipei Tech 都市[[[數據分析]]]師,13817654,1,0,25.0418021,121.5348869,"{'job': 'https://www.104.com.tw/job/885rq', 'cust': 'https://www.104.com.tw/company/169v0wl5', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/885rq?channel=104rpt'}",[],99001004007,捷運忠孝新生站,"[4, 5, 6]",0,0,10,0,0,{'landmark': {'desc': '距捷運忠孝新生站約210公尺'}},[1],0,,0.5952855762938959,"[2007001022, 2007001004, 2008001009]","['foreigners@full_fc_em_jbs', 'foreigners@pt_fc_em_jbs']",,,,,False,"{'lastProcessedResumeAtTime': 1752039586, 'nowTimestamp': 1752050834}"
20250515,4,1002014001,船舶及其零件製造修配業,龍德造船工業股份有限公司,40607762000,"1. 數據分析與報告： 
收集並分析生產數據，編制週/月報告，向上級主管彙報生產狀況，提出問題和建議。

2. 生產計畫管理： 
負責制定和執行月度、週度、日常生產計畫，確保各項生產任務依時完成，並達到預期品質與數量目標。

5. 協調與溝通：","1. [[[數據分析]]]與報告： 
收集並分析生產數據，編制週/月報告，向上級主管彙報生產狀況，提出問題和建議。

2. 生產計畫管理： 
負責制定和執行月度、週度、日常生產計畫，確保各項生產任務依時完成，並達到預期品質與數量目標。

5. 協調與溝通：",0.0,蘇東里008鄰港區27號,6001003010,宜蘭縣冬山鄉,數據分析員-生產管理,[[[數據分析]]]員-生產管理,14643915,1,2,24.5916012,121.863377,"{'job': 'https://www.104.com.tw/job/8pvbf', 'cust': 'https://www.104.com.tw/company/inkt9ow', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8pvbf?channel=104rpt'}",[],,,[4],0,0,50,9999999,38000,"{'wf7': {'desc': '', 'param': 'wf7'}, 'wf25': {'desc': '', 'param': 'wf25'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf9': {'desc': '', 'param': 'wf9'}}",[1],0,,0.7345504805231226,"[2009001004, 2009001003]","['c@wf7', 'c@wf25', 'c@wf2', 'c@wf1', 'c@wf4', 'c@wf30', 'c@wf9']",,,,,True,"{'lastProcessedResumeAtTime': 1751935588, 'nowTimestamp': 1752050834}"
20250709,6,1005002002,雜誌／期刊出版業,今周刊_今周文化事業股份有限公司,12973387000,"1.【必備】Google Analytics技能。 
2.【必備】熟稔Excel(函數、樞紐分析等工具）和Office各軟體。
3.每週例行性數據分析報表製作，彙整內容/社群等各式數據，問題診斷與研究，提出相關數據洞察和建議。 
4.統整會員讀者","1.【必備】Google Analytics技能。 
2.【必備】熟稔Excel(函數、樞紐分析等工具）和Office各軟體。
3.每週例行性[[[數據分析]]]報表製作，彙整內容/社群等各式數據，問題診斷與研究，提出相關數據洞察和建議。 
4.統整會員讀者",0.0,南京東路一段96號8樓,6001001003,台北市中山區,數據分析師【今周刊─數位內容部】,[[[數據分析]]]師【今周刊─數位內容部】,14090732,1,2,25.0519115,121.5261536,"{'job': 'https://www.104.com.tw/job/8e0h8', 'cust': 'https://www.104.com.tw/company/5yk0ph4', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8e0h8?channel=104rpt'}",[],,,"[4, 5]",3,0,10,0,0,"{'wf1': {'desc': '', 'param': 'wf1'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf7': {'desc': '', 'param': 'wf7'}}",[1],0,,0.5805649652127077,"[2007001018, 2007001022]","['foreigners@full_fc_em_jbs', 'c@wf1', 'c@wf2', 'c@wf7']",,,,,False,"{'lastProcessedResumeAtTime': 1751884100, 'nowTimestamp': 1752050834}"
20250705,3,1001001006,其它軟體及網路相關業,圖靈數位股份有限公司,130000000091361,"未來是數據決策時代，我們幫助客戶蒐集數據、了解數據、利用數據，用數據結合Martech幫助客戶成長。
圖靈數位是數據分析權威指標性團隊，我們不是傳統產業在紅海競爭，因此我們對業務的要求是相信數據，用數據幫助客戶。

我們要求業務：
1、了解客戶需","未來是數據決策時代，我們幫助客戶蒐集數據、了解數據、利用數據，用數據結合Martech幫助客戶成長。
圖靈數位是[[[數據分析]]]權威指標性團隊，我們不是傳統產業在紅海競爭，因此我們對業務的要求是相信數據，用數據幫助客戶。

我們要求業務：
1、了解客戶需",0.31,中山北路一段2號11樓,6001001001,台北市中正區,數據分析銷售業務,[[[數據分析]]]銷售業務,14435535,1,0,25.046123,121.5194294,"{'job': 'https://www.104.com.tw/job/8lej3', 'cust': 'https://www.104.com.tw/company/1a2x6bjxsx', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8lej3?channel=104rpt'}",[],99001002009,捷運台北車站站,[4],4,0,50,70000,36000,"{'wf3': {'desc': '', 'param': 'wf3'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'landmark': {'desc': '距捷運台北車站站約310公尺'}}",[1],0,09:30-18:30,0.6176157684586314,"[2005003004, 2005003016]","['c@wf3', 'c@wf1', 'c@wf2', 'c@wf29', 'c@wf10', 'foreigners@full_fc_em_jbs']",,,,,False,"{'lastProcessedResumeAtTime': 1751909246, 'nowTimestamp': 1752050834}"
20250708,1,1001003001,電腦及其週邊設備製造業,神達電腦股份有限公司,47255708000,"共同的使命。我們期待您的加入！
此實習方案將是透過團隊共創，針對企業資料痛點，發想解決方案建置資料模型及分析，並擁有陪練式的專案輔導。


【工作內容】
**化數據為洞見！**協助應用 AI 或 BI 數據分析，解決營運分析、客戶關係管理和供應鏈管","共同的使命。我們期待您的加入！
此實習方案將是透過團隊共創，針對企業資料痛點，發想解決方案建置資料模型及分析，並擁有陪練式的專案輔導。


【工作內容】
**化數據為洞見！**協助應用 AI 或 BI [[[數據分析]]]，解決營運分析、客戶關係管理和供應鏈管",0.0,文化二路200號,6001005008,桃園市龜山區,【IT】數據分析實習生 (林口),【IT】[[[數據分析]]]實習生 (林口),13021943,2,2,25.0469902,121.3754256,"{'job': 'https://www.104.com.tw/job/7r3sn', 'cust': 'https://www.104.com.tw/company/lpittnk', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/7r3sn?channel=104rpt'}","['統計學相關', '資訊管理相關', '其他商業及管理相關']",,,"[4, 5]",0,0,30,9999999,190,"{'zone': {'desc': '上市上櫃', 'param': 16}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf8': {'desc': '', 'param': 'wf8'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf19': {'desc': '', 'param': 'wf19'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf27': {'desc': '', 'param': 'wf27'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf34': {'desc': '', 'param': 'wf34'}, 'wf3': {'desc': '', 'param': 'wf3'}}",[1],0,9:30~18:30,0.6653097471188644,"[2007001007, 2007001009]","['c@wf10', 'c@wf8', 'c@wf26', 'c@wf28', 'c@wf19', 'c@wf30', 'c@wf29', 'c@wf27', 'c@wf7', 'c@wf2', 'c@wf4', 'c@wf34', 'c@wf3', 'foreigners@full_fc_em_jbs']",,,,,False,"{'lastProcessedResumeAtTime': 1752043062, 'nowTimestamp': 1752050834}"
